"Date";"Order ID";"Transaction ID";"Payout report ID";"Payout number";"Position";"Currency";"Payout amount";"Open receivable";"Commission type";"Commission paid to";"Payout on";"Purchase vendor";"Purchase affiliate";"Product ID";"Product name";"Reason";"Voucher";"Sales team";"Commission allocated to";"Purchase created by";"Reseller";
"05/03/2026";"W2X9RWQM";"116223727";"";"";"";"USD";"1.85";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"QEDYAP4U1";"116223607";"";"";"";"USD";"13.16";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"A4HJS65P1";"116223116";"";"";"";"USD";"13.06";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"A4HJS65P";"116222856";"";"";"";"USD";"1.77";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"KLEUUS5H";"116222809";"";"";"";"USD";"1.83";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"CXS3AVEF1";"116222362";"";"";"";"USD";"13.16";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"CXS3AVEF";"116222095";"";"";"";"USD";"1.98";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"QL6EQQ27";"116221889";"";"";"";"USD";"2.84";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"evolute";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"UQAUJ73F";"116221832";"";"";"";"USD";"1.98";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"nitrocompany";"686069";"M3 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
"05/03/2026";"YT6XQR5M1";"116221819";"";"";"";"USD";"13.08";"0.00";"vendor reserve";"D21052003";"07/14/2026";"D21052003";"";"686072";"UP1 - NeuroMind Pro (6 Bottles)";"Supplements - health";"";"";"";"";"Digistore24 Inc. (United States)";
