DigiStore24 Account_id,Nicho, Product Name/SKU,Quantidade,Valor,Product Type,Sales page,Checkout,Thanks Page,Drive,Status
D21052003 - MaxVitalize,ED,M2 - MaxVitalize (3 Bottles),3,"$207,00",Front-End,https://getmaxvitalize.com/front-ds24/,https://www.checkout-ds24.com/product/677454,getmaxvitalize.com/thanks-ds24,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj ,Ativo
D21052003 - MaxVitalize,ED,M1 - MaxVitalize (2 Bottles),2,"$158,00",Front-End,https://getmaxvitalize.com/front-ds24/,https://www.checkout-ds24.com/product/677452,getmaxvitalize.com/thanks-ds24,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj ,Ativo
,,,,,,,,,,
D21052003 - Thermo Burn Pro,Diabetes,UP2 - Glyco Pulse (1 Bottles),1,"$29,00",Upsell 2,https://getthermoburn.com/up02-ds24/,https://www.checkout-ds24.com/product/687062,https://getthermoburn.com/thanks-ds24/ ,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Em aprovação
D21052003 - Thermo Burn Pro,Diabetes,UP2 - Glyco Pulse (2 Bottles),2,"$58,00",Upsell 2,https://getthermoburn.com/up02-ds24/,https://www.checkout-ds24.com/product/687059,https://getthermoburn.com/thanks-ds24/ ,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Em aprovação
D21052003 - Thermo Burn Pro,Diabetes,UP2 - Glyco Pulse (3 Bottles),3,"$87,00",Upsell 2,https://getthermoburn.com/up02-ds24/,https://www.checkout-ds24.com/product/687054,https://getthermoburn.com/thanks-ds24/ ,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Em aprovação
D21052003 - Thermo Burn Pro,Emagrecimento,DW1 - Thermo Burn Pro (5 Bottles),5,"$69,00",Downsell,https://getthermoburn.com/dw01-ds24/,https://www.checkout-ds24.com/product/686825,https://getthermoburn.com/thanks-ds24/ ,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Ativo
D21052003 - Thermo Burn Pro,Emagrecimento,DW1 - Thermo Burn Pro (3 Bottles),3,"$49,50",Downsell,https://getthermoburn.com/dw01-ds24/,https://www.checkout-ds24.com/product/686824,https://getthermoburn.com/thanks-ds24/ ,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Ativo
D21052003 - Thermo Burn Pro,Emagrecimento,UP1-V1 - Thermo Burn Pro (12 Bottles),12,"$348,00",Upsell 1,https://getthermoburn.com/up01-ds24/,https://www.checkout-ds24.com/product/686525,https://getthermoburn.com/thanks-ds24/ ,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Ativo
D21052003 - Thermo Burn Pro,Emagrecimento,UP1-V1 - Thermo Burn Pro (6 Bottles),6,"$294,00",Upsell 1,https://getthermoburn.com/up01-ds24/,https://www.checkout-ds24.com/product/686523,https://getthermoburn.com/thanks-ds24/ ,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Ativo
D21052003 - Thermo Burn Pro,Emagrecimento,UP1-V2 - Thermo Burn Pro (6 Bottles),6,"$174,00",Upsell 1,https://getthermoburn.com/up01-ds24-kit2/,https://www.checkout-ds24.com/product/686521,https://getthermoburn.com/thanks-ds24/ ,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Ativo
D21052003 - Thermo Burn Pro,Emagrecimento,UP1-V2 - Thermo Burn Pro (3 Bottles),3,"$117,00",Upsell 1,https://getthermoburn.com/up01-ds24-kit2/,https://www.checkout-ds24.com/product/686520,https://getthermoburn.com/thanks-ds24/ ,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Ativo
D21052003 - Thermo Burn Pro,Emagrecimento,UP1-V2 - Thermo Burn Pro (2 Bottles),2,"$98,00",Upsell 1,https://getthermoburn.com/up01-ds24-kit2/,https://www.checkout-ds24.com/product/686519,https://getthermoburn.com/thanks-ds24/ ,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Ativo
D21052003 - Thermo Burn Pro,Emagrecimento,DS1 - Thermo Burn Pro (3 Bottles),3,"$117,00",Downsell,https://getthermoburn.com/dw01-ds24/,https://www.checkout-ds24.com/product/682717,https://getthermoburn.com/thanks-ds24/ ,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Ativo
D21052003 - Thermo Burn Pro,Emagrecimento,UP1 - Thermo Burn Pro (9 Bottles),9,"$351,00",Upsell 1,https://getthermoburn.com/up01-ds24/,https://www.checkout-ds24.com/product/682715,https://getthermoburn.com/thanks-ds24/ ,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Ativo
D21052003 - Thermo Burn Pro,Emagrecimento,M3 - Thermo Burn Pro (6 Bottles),6,"$294,00",Front-End,https://getthermoburn.com/front-ds24/,https://www.checkout-ds24.com/product/682714,https://getthermoburn.com/thanks-ds24/ ,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Ativo
D21052003 - Thermo Burn Pro,Emagrecimento,M2 - Thermo Burn Pro (3 Bottles),3,"$207,00",Front-End,https://getthermoburn.com/front-ds24/,https://www.checkout-ds24.com/product/682713,https://getthermoburn.com/thanks-ds24/ ,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Ativo
D21052003 - Thermo Burn Pro,Emagrecimento,M1 - Thermo Burn Pro (2 Bottles),2,"$158,00",Front-End,https://getthermoburn.com/front-ds24/,https://www.checkout-ds24.com/product/682712,https://getthermoburn.com/thanks-ds24/ ,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Ativo
,,,,,,,,,,
D21052003 - NeuroMind Pro,Memória,DW1 - NeuroMind Pro (5 Bottles),5,"$69,00",Downsell,https://getneuromindpro.online/dw01-ds24/,https://www.checkout-ds24.com/product/686850,https://getneuromindpro.online/dw01-ds24,https://drive.google.com/drive/folders/13M0bDw6xShPeM1vJn4o9RLtmSehmprYl,Ativo
