ClickBank Account_id,Nicho, Product Name/SKU,Quantidade,Valor,Product Type,Sales page,Checkout,Thanks Page,Drive,Shipping Profiles,Status
burnthermo,Emagrecimento,ThermoBurnPro-9-UP1-V1,9,"$351,00",Upsell 1,https://getthermoburn.com/up01-cb,https://burnthermo.pay.clickbank.net/?cbitems=ThermoBurnPro-9-UP1-V1,https://getthermoburn.com/thanks/,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Configurado,Ativo
,,,,,,,,,,,
glycopulse,Diabetes,GlycoPulse-2-FE,2,"$158,00",Front-End,https://getglycopulse.com/front-cb/,https://glycopulse.pay.clickbank.net/?cbitems=GlycoPulse-2-FE,https://getglycopulse.com/thanks/,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Configurado,Ativo
glycopulse,Diabetes,GlycoPulse-3-FE,3,"$207,00",Front-End,https://getglycopulse.com/front-cb/,https://glycopulse.pay.clickbank.net/?cbitems=GlycoPulse-3-FE,https://getglycopulse.com/thanks/,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Configurado,Ativo
glycopulse,Diabetes,GlycoPulse-6-FE,6,"$294,00",Front-End,https://getglycopulse.com/front-cb/,https://glycopulse.pay.clickbank.net/?cbitems=GlycoPulse-6-FE,https://getglycopulse.com/thanks/,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Configurado,Ativo
glycopulse,Diabetes,GlycoPulse-6-up1,6,"$234,00",Upsell 1,https://getglycopulse.com/up01-cb/,https://glycopulse.pay.clickbank.net/?cbitems=GlycoPulse-6-up1,https://getglycopulse.com/thanks/,https://drive.google.com/drive/folders/1XopPhAGKRZVYhpmdYYd_-iyUNMtw2qsJ,Configurado,Ativo
glycopulse,Emagrecimento,ThermoBurnPro-2-up2,2,"$59,66",Upsell 2,https://getglycopulse.com/up02-cb/,https://glycopulse.pay.clickbank.net/?cbitems=ThermoBurnPro-2-up2,https://getglycopulse.com/thanks/,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Configurado,Ativo
glycopulse,Emagrecimento,ThermoBurnPro-3-up2,3,"$129,00",Upsell 2,https://getglycopulse.com/up02-cb/,https://glycopulse.pay.clickbank.net/?cbitems=ThermoBurnPro-3-up2,https://getglycopulse.com/thanks/,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Configurado,Ativo
glycopulse,Emagrecimento,ThermoBurnPro-6-up2,6,"$199,00",Upsell 2,https://getglycopulse.com/up02-cb/,https://glycopulse.pay.clickbank.net/?cbitems=ThermoBurnPro-6-up2,https://getglycopulse.com/thanks/,https://drive.google.com/drive/folders/1pu6YLxFIysmYdIOh2IqtHAa7L_ECxrle,Configurado,Ativo
,,,,,,,,,,,
maxvitaliz,ED,MaxVitalize-12-UP1-vsnova,12,"$348,00",Upsell 1,https://getmaxvitalize.com/up01-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-12-UP1-vsnova,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
maxvitaliz,ED,MaxVitalize-2-FE,2,"$158,00",Front-End,https://getmaxvitalize.com/front-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-2-FE,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
maxvitaliz,ED,MaxVitalize-2-UP1-vsnova,2,"$98,00",Upsell 1,https://getmaxvitalize.com/front-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-2-UP1-vsnova,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
maxvitaliz,ED,MaxVitalize-2e1-RC,3,"$158,00",SMS Recovery,https://getmaxvitalize.com/sms-cb,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-2e1-RC,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
maxvitaliz,ED,MaxVitalize-3-DW1,3,"$120,00",Downsell,https://getmaxvitalize.com/front-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-3-DW1 ,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
maxvitaliz,ED,MaxVitalize-3-DW1-vsnova,3,"$49,50",Downsell,https://getmaxvitalize.com/dw01-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-3-DW1-vsnova,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
maxvitaliz,ED,MaxVitalize-3-FE,3,"$207,00",Front-End,https://getmaxvitalize.com/front-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-3-FE,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
maxvitaliz,ED,MaxVitalize-3-UP1-vsnova,3,"$117,00",Upsell 1,https://getmaxvitalize.com/front-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-3-UP1-vsnova,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
maxvitaliz,ED,MaxVitalize-3e1-RC,4,"$207,00",SMS Recovery,https://getmaxvitalize.com/sms-cb,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-3e1-RC,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
maxvitaliz,ED,MaxVitalize-5-DW1-vsnova,5,"$69,00",Downsell,https://getmaxvitalize.com/dw01-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-5-DW1-vsnova ,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
maxvitaliz,ED,MaxVitalize-6-FE,6,"$294,00",Front-End,https://getmaxvitalize.com/front-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-6-FE,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
maxvitaliz,ED,MaxVitalize-6-UP1,6,"$234,00",Upsell 1,https://getmaxvitalize.com/up01-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-6-UP1 ,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
maxvitaliz,ED,MaxVitalize-6-UP1-vs2,6,"$144,00",Upsell 1,https://getmaxvitalize.com/front-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-6-UP1-vs2,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
maxvitaliz,ED,MaxVitalize-6-UP1-vsnova,6,"$174,00",Upsell 1,https://getmaxvitalize.com/up01-cb/,https://maxvitaliz.pay.clickbank.net/?cbitems=MaxVitalize-6-UP1-vsnova,https://getmaxvitalize.com/thanks,https://drive.google.com/drive/folders/155S905JKJ-ZDzLPdTSGeVw3M-FkZvfEj,Configurado,Ativo
